source_file,capture_id,surface_id,packet_id,surface_disposition_override,readiness_status,readiness_reason,source_join_status,review_decision,review_confidence,review_basis,review_lane,packet_action,packet_confidence,packet_type,relation_density,source_depth,rights_state,editorial_need,current_publication_role,recommended_role,anchor_score,year,region,theme,medium,movement,source_name,title
capture_batch_gallica_image_ready_1830_1970_records.csv,GA1970R001,SURF-GA1970R001,PKT01220,card,hold_review,card-related decisions require visual/editorial sample review,unique_capture_id,draft_card_demote,medium,Packet member has weak/context signal; draft card support role.,conservative_draft_override,demote_parallel_mains_to_subsheet_cluster,high,collection_region_decade,5,high,source_visible,sufficient_for_review,main_sheet,card_or_appendix_candidate,42,1834,France,Midcentury modern graphic communication,Graphic design object record,,Gallica / BnF APIs,"Théâtre dirigé par M. Dorsay ci-devant Mad.e Saqui Boulevard du Temple en face le jardin turc tous les jours, excepté le Dimanche, Jane Gray Drame historique en 3 actes et 5 tableaux de M. Leblanc, musique de M. Bellon, décors de M. Rascalo"
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00130,SURF-CAW2026R00130,PKT00402,card,hold_review,card-related decisions require visual/editorial sample review,unique_capture_id,draft_card_demote,medium,Packet member has weak/context signal; draft card support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,9,high,source_visible,needs_packet_text,main_sheet,card_or_appendix_candidate,57,1840,Latin America,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Een Italiaanse vrouw (studie) - Theodore Chasseriau - Museum voor Schone Kunsten Gent - 1.jpg / page 188671356,Een Italiaanse vrouw (studie) - Theodore Chasseriau - Museum voor Schone Kunsten Gent - 1.jpg
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00131,SURF-CAW2026R00131,PKT00402,card,hold_review,card-related decisions require visual/editorial sample review,unique_capture_id,draft_card_demote,medium,Packet member has weak/context signal; draft card support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,9,high,source_visible,needs_packet_text,main_sheet,card_or_appendix_candidate,58,1840,Latin America,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / Portrait of Dominique Lacordaire.jpg / page 465240,Portrait of Dominique Lacordaire.jpg
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00137,SURF-CAW2026R00137,PKT00402,card,hold_review,card-related decisions require visual/editorial sample review,unique_capture_id,keep_card_support,high,Already a card/context surface.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,9,high,source_visible,needs_packet_text,card,card,62,1841,Latin America,Modern typography and layout,Graphic design object record,,Wikimedia Commons file source / La Toilette d'Esther.jpg / page 53578790,La Toilette d'Esther.jpg
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00145,SURF-CAW2026R00145,PKT00402,support_packet_appendix_text,hold_review,source family requires sample review before packet role application,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,9,high,source_visible,needs_packet_text,main_sheet,subsheet_candidate,82,1844,Latin America,Modern typography and layout,Graphic design object record,,"Wikimedia Commons file source / Chassériau - Desdémone ou La romance du saule. Esquisse (Shakespeare, Othello, acte IV, scène 3), 1844, RF 3876.jpg / page 125751443","Chassériau - Desdémone ou La romance du saule. Esquisse (Shakespeare, Othello, acte IV, scène 3), 1844, RF 3876.jpg"
capture_batch_commons_open_global_south_image_2026_records.csv,CGS2026R0912,SURF-CGS2026R0912,PKT00287,support_packet_appendix_text,hold_review,source family requires sample review before packet role application,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,25,high,source_visible,needs_packet_text,main_sheet,subsheet_candidate,88,1846,Mexico,World War and public-information graphics,Advertisement,,"Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 1).jpg / page 100757166","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 1).jpg"
capture_batch_commons_open_global_south_image_2026_records.csv,CGS2026R0913,SURF-CGS2026R0913,PKT00287,support_packet_appendix_text,hold_review,source family requires sample review before packet role application,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,25,high,source_visible,needs_packet_text,main_sheet,subsheet_candidate,88,1846,Mexico,World War and public-information graphics,Advertisement,,"Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 2).jpg / page 100757179","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 2).jpg"
capture_batch_commons_open_global_south_image_2026_records.csv,CGS2026R0914,SURF-CGS2026R0914,PKT00287,support_packet_appendix_text,hold_review,source family requires sample review before packet role application,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,25,high,source_visible,needs_packet_text,main_sheet,subsheet_candidate,88,1846,Mexico,World War and public-information graphics,Advertisement,,"Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 3).jpg / page 101174476","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 3).jpg"
capture_batch_commons_open_global_south_image_2026_records.csv,CGS2026R0915,SURF-CGS2026R0915,PKT00287,support_packet_appendix_text,hold_review,source family requires sample review before packet role application,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,25,high,source_visible,needs_packet_text,main_sheet,subsheet_candidate,88,1846,Mexico,World War and public-information graphics,Advertisement,,"Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 4).jpg / page 101174477","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 4).jpg"
capture_batch_commons_open_global_south_image_2026_records.csv,CGS2026R0916,SURF-CGS2026R0916,PKT00287,support_packet_appendix_text,hold_review,source family requires sample review before packet role application,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,25,high,source_visible,needs_packet_text,main_sheet,subsheet_candidate,88,1846,Mexico,World War and public-information graphics,Advertisement,,"Wikimedia Commons file source / The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65afcd517a8b7f5d57646 (page 2).jpg / page 100641109","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65afcd517a8b7f5d57646 (page 2).jpg"
